day,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9
1,A,,,B,,C,,,
2,,C,,,B,,,A,
3,,C,A,A,,,,,
4,B,,,,,,,,C
5,,B,,C,,A,,B,
